Provincia,Canton,Distrito,Población de 15 años y más,Tasa neta de participación,Tasa de ocupación,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica,Pctg Ocup Sector Prim,Pctg Ocup Sector Sec,Pctg Ocup Sector Ter
San Jose,San Jose,Carmen           , 2 431,56.3,54.8,2.7,43.7,1,1.6,8.7,89.7
San Jose,San Jose,Merced         , 9 655,59.2,57,3.8,40.8,1.1,0.8,18.3,80.9
San Jose,San Jose,Hospital          , 15 096,56.4,53.9,4.4,43.6,1.3,0.5,18.6,80.9
San Jose,San Jose,Catedral          , 10 742,59,57,3.4,41,1,0.5,14.6,84.9
San Jose,San Jose,Zapote          , 15 545,55.7,54,2.9,44.3,1.2,0.6,13.7,85.6
San Jose,San Jose,San Francisco de Dos Ríos, 16 895,57.4,56.1,2.3,42.6,1.1,0.5,13,86.5
San Jose,San Jose,Uruca            , 22 717,59,56.6,4,41,1.4,1,29.1,69.9
San Jose,San Jose,Mata Redonda      , 7 077,54,52.2,3.4,46,1.2,1.1,11.7,87.1
San Jose,San Jose,Pavas            , 54 510,56.3,53.9,4.2,43.7,1.3,0.7,23.8,75.5
San Jose,San Jose,Hatillo           , 39 555,54.7,52.2,4.6,45.3,1.3,0.5,16.4,83.2
San Jose,San Jose,San Sebastián     , 31 633,57.5,55.1,4.1,42.5,1.2,0.5,16.1,83.4
San Jose,Escazu          ,Escazú            , 9 580,58.7,56.7,3.4,41.3,1.1,1.6,15.7,82.7
San Jose,Escazu           ,San Antonio       , 17 544,60.6,58.7,3,39.4,1.1,3.8,18.6,77.6
San Jose,Escazu            ,San Rafael        , 17 673,61.9,60.2,2.9,38.1,1,1.8,15.4,82.8
San Jose,Desamparados,Desamparados      , 26 951,59.3,56.4,4.8,40.7,1.1,0.5,15,84.5
San Jose,Desamparados,San Miguel        , 24 071,57.1,54.9,3.9,42.9,1.3,1.6,20.2,78.2
San Jose,Desamparados,San Juan de Dios  , 14 462,56.7,54.7,3.6,43.3,1.4,0.7,22.6,76.7
San Jose,Desamparados,San Rafael Arriba , 11 832,56.1,54,3.8,43.9,1.3,0.8,20.3,78.9
San Jose,Desamparados,San Antonio       , 7 928,58.8,57.1,2.9,41.2,1.1,0.8,14.9,84.2
San Jose,Desamparados,Frailes           , 2 844,50.7,48.6,4.2,49.3,1.6,40.4,17,42.6
San Jose,Desamparados,Patarrá          , 8 817,55.6,53.5,3.8,44.4,1.4,2.5,25.7,71.9
San Jose,Desamparados,San Cristóbal     , 2 839,51.8,50.7,2.3,48.2,1.7,24.2,37.4,38.4
San Jose,Desamparados,Rosario           , 2 281,54.9,53.8,2,45.1,1.5,22.8,15.4,61.8
San Jose,Desamparados,Damas            , 10 201,58.5,56.9,2.7,41.5,1.2,0.5,19.2,80.3
San Jose,Desamparados,San Rafael Abajo  , 17 822,59.7,57.6,3.5,40.3,1.2,0.5,20.4,79.1
San Jose,Desamparados,Gravilias         , 12 360,57.7,55.6,3.6,42.3,1.1,0.5,12.3,87.2
San Jose,Desamparados,Los Guido, 16 884,51.8,48.5,6.4,48.2,1.8,0.9,26,73.1
San Jose,Puriscal,Puriscal, 25 774,50.7,49.1,3.1,49.3,1.5,15.8,14.4,69.8
San Jose,Puriscal,Santiago          , 9 122,54.1,52.6,2.7,45.9,1.3,6,13.5,80.5
San Jose,Puriscal,Mercedes Sur      , 4 562,50.3,48.9,2.7,49.7,1.6,20.1,16.7,63.3
San Jose,Puriscal,Barbacoas         , 2 838,49.4,47.8,3.1,50.6,1.6,14.1,18,67.9
San Jose,Puriscal,Grifo Alto        ,922,44.6,43.2,3.2,55.4,1.9,33.2,13.3,53.5
San Jose,Puriscal,San Rafael        , 1 409,46.1,44.8,2.8,53.9,1.7,13.3,13.8,72.9
San Jose,Puriscal,Candelarita       , 1 112,43.3,42.4,1.9,56.7,2,37.3,9.5,53.2
San Jose,Puriscal,Desamparaditos    ,542,49.3,48.7,1.1,50.7,1.5,8.3,17,74.6
San Jose,Puriscal,San Antonio       , 2 978,54.1,51.8,4.2,45.9,1.4,8.5,17.5,74
San Jose,Puriscal,Chires            , 2 289,44,41.8,5.1,56,2,54.9,6.3,38.9
San Jose,Tarrazú,San Marcos        , 7 427,51.3,49.7,3.2,48.7,1.6,27.9,12.3,59.8
San Jose,Tarrazú,San Lorenzo       , 3 116,51.5,50.2,2.5,48.5,1.7,61,6.6,32.5
